algorithm n comparisions time
stdunstable 50000 853905 0.001860375
bubble 50000 2487600247 6.368692208
insertion-dumb 50000 631063216 1.3945142910000001
insertion-smart 50000 711376 0.180957291
selection 50000 1249975000 5.058403625
quick 50000 1600656 0.003815083
heap 50000 1409833 0.004768125
merge 50000 718191 0.170686916
stdstable 50000 773633 0.002530708
stdunstable 50000 858310 0.00195775
bubble 50000 2490100197 6.2494895
insertion-dumb 50000 624142830 1.34992225
insertion-smart 50000 711443 0.1805895
selection 50000 1249975000 5.004915291
quick 50000 1635960 0.003805083
heap 50000 1409738 0.004690791
merge 50000 718091 0.168648208
stdstable 50000 773190 0.002580583
stdunstable 50000 865934 0.001938291
bubble 50000 2484850302 6.31721425
insertion-dumb 50000 626330783 1.3457086249999999
insertion-smart 50000 711304 0.182107458
selection 50000 1249975000 5.039925208
quick 50000 1520947 0.004461916
heap 50000 1409361 0.005184541
merge 50000 718051 0.179610125
stdstable 50000 773688 0.002632083
stdunstable 50000 854910 0.002040875
bubble 50000 2478950420 6.500762
insertion-dumb 50000 620662160 1.424798458
insertion-smart 50000 711539 0.202890958
selection 50000 1249975000 5.159323333
quick 50000 1473351 0.003517041
heap 50000 1410007 0.004688125
merge 50000 718134 0.167092708
stdstable 50000 773906 0.002412875
stdunstable 50000 857586 0.001908916
bubble 50000 2496300073 6.298994333
insertion-dumb 50000 626516492 1.367311666
insertion-smart 50000 711381 0.182404708
selection 50000 1249975000 5.009112833
quick 50000 1489147 0.003589916
heap 50000 1409850 0.004779833
merge 50000 718147 0.16868325
stdstable 50000 773333 0.002443458
stdunstable 50000 855092 0.001932291
bubble 50000 2491000179 6.33854025
insertion-dumb 50000 623909314 1.3419075409999999
insertion-smart 50000 711190 0.181939375
selection 50000 1249975000 4.992756375
quick 50000 1474476 0.003557708
heap 50000 1409686 0.004868083
merge 50000 718135 0.16763475
stdstable 50000 773688 0.002399541
stdunstable 50000 849429 0.001884625
bubble 50000 2491100177 6.177824
insertion-dumb 50000 621845776 1.336858625
insertion-smart 50000 711356 0.180208083
selection 50000 1249975000 4.976909625
quick 50000 1648521 0.0038785
heap 50000 1409629 0.004768166
merge 50000 718192 0.17586425
stdstable 50000 773075 0.00262925
stdunstable 50000 869222 0.00203175
bubble 50000 2493200135 6.192190958
insertion-dumb 50000 626457838 1.345912041
insertion-smart 50000 711310 0.182735166
selection 50000 1249975000 4.986898625
quick 50000 1556995 0.003746541
heap 50000 1409514 0.004862041
merge 50000 718445 0.168076625
stdstable 50000 773879 0.002397833
stdunstable 50000 848929 0.001891666
